Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity
BWA,BORGWARNER INC,Consumer Discretionary,Equity,"81,635,480.19",0.01,"81,635,480.19","2,567,961.00"
BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,Equity,"81,221,027.58",0.01,"81,221,027.58","2,138,521.00"
DVA,DAVITA INC,Health Care,Equity,"79,188,220.50",0.01,"79,188,220.50","529,510.00"
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples,Equity,"78,668,311.47",0.01,"78,668,311.47","8,431,759.00"
BEN,FRANKLIN RESOURCES INC,Financials,Equity,"73,670,352.30",0.01,"73,670,352.30","3,630,870.00"
MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,Equity,"73,465,445.79",0.01,"73,465,445.79","616,683.00"
PARA,PARAMOUNT GLOBAL CLASS B,Communication,Equity,"73,202,845.60",0.01,"73,202,845.60","6,998,360.00"
SGAFT,CASH COLLATERAL USD SGAFT,Cash and/or Derivatives,Cash Collateral and Margins,"71,784,000.00",0.01,"71,784,000.00","71,784,000.00"
FMC,FMC CORP,Materials,Equity,"71,441,776.73",0.01,"71,441,776.73","1,469,693.00"
FOX,FOX CORP CLASS B,Communication,Equity,"71,019,766.16",0.01,"71,019,766.16","1,552,684.00"
NWS,NEWS CORP CLASS B,Communication,Equity,"40,084,404.38",0.01,"40,084,404.38","1,317,266.00"
ESH5,S&P500 EMINI MAR 25,Cash and/or Derivatives,Futures,0,0,"1,322,781,887.50","4,457.00"
ETD_USD,ETD USD BALANCE WITH R30382,Cash and/or Derivatives,Cash,"-4,852,744.88",0,"-4,852,744.88","-4,852,745.00"
